Name,latitude,longitude,Province
Abbotsford,49.052222,-122.329167,British Columbia
Airdrie,51.2922222,-114.0141667,Alberta
Armstrong,50.448333,-119.196667,British Columbia
Barrie,44.37124,-79.67697,Ontario
Bathurst,47.626111,-65.628333,New Brunswick
Belleville,44.2566666,-77.3697222,Ontario
Brampton,43.6883334,-79.7608333,Ontario
Brandon,49.846944,-99.952222,Manitoba
Brantford,43.1569444,-80.2575,Ontario
Brockville,44.59733,-75.6855,Ontario
Brooks,50.567222,-111.895,Alberta
Burlington,43.37006,-79.81403,Ontario
Burnaby,49.242778,-122.972778,British Columbia
Calgary,51.0458333,-114.0574999,Alberta
Cambridge,43.397222,-80.311389,Ontario
Campbell River,50.023056,-125.243611,British Columbia
Campbellton,47.999336,-66.683511,New Brunswick
Camrose,53.0247222,-112.8241667,Alberta
Castlegar,49.324444,-117.666944,British Columbia
Charlottetown,46.240278,-63.134722,Prince Edward Island
Chatham-Kent,42.43396,-82.12876,Ontario
Chilliwack,49.157778,-121.950833,British Columbia
Clarence-Rockland,45.48809,-75.21489,Ontario
Cold Lake,54.45,-110.1666667,Alberta
Colwood,48.423611,-123.493333,British Columbia
Coquitlam,49.284167,-122.793611,British Columbia
Corner Brook,48.941111,-57.970278,Newfoundland and Labrador
Cornwall,45.0263889,-74.7263889,Ontario
County of Brant,43.1391667,-80.2813889,Ontario
Courtenay,49.689444,-124.995833,British Columbia
Cranbrook,49.508056,-115.746944,British Columbia
Dauphin,51.149444,-100.04944,Manitoba
Dawson Creek,55.760556,-120.235556,British Columbia
Dieppe,46.078333,-64.688611,New Brunswick
Dryden,49.7833333,-92.7652777,Ontario
Duncan,48.778611,-123.708056,British Columbia
Edmonton,53.5344445,-113.4902778,Alberta
Edmundston,47.377222,-68.294444,New Brunswick
Elliot Lake,46.3811111,-82.6572222,Ontario
Enderby,50.550556,-119.139444,British Columbia
Estevan,49.1392833,-102.9859847,Saskatchewan
Fernie,49.504167,-115.062778,British Columbia
Flin Flon,54.768056,-101.8641699,Manitoba
Fort Saskatchewan,53.7111111,-113.2177778,Alberta
Fort St. John,56.2525,-120.846667,British Columbia
Fredericton,45.945278,-66.666667,New Brunswick
Grand Forks,49.031111,-118.439167,British Columbia
