NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Midnapore,Calgary School District No. 19,Public School,Midnapore School,55 Midpark Rise SE,Calgary,AB,GRK-6,N,CBE Data,9363,Y,Y,N,N,2019/03/03,T2X1L7,1382577,-114.055174702314,50.9150402074022,"(50.9150402074022, -114.055174702314)"
Scenic Acres,Calgary School District No. 19,Public School,Scenic Acres School,50 Scurfield Way NW,Calgary,AB,GRK-4,N,CBE Data,597,Y,Y,N,N,2019/03/03,T3L1T2,1384107,-114.215656566624,51.1200890863443,"(51.1200890863443, -114.215656566624)"
Light of Christ,Calgary Roman Catholic Separate School District No. 1,Separate School,Light of Christ Catholic School,6270 Saddlehorn Dr NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,1486,N,Y,Y,N,2019/03/03,T3J0L8,1383296,-113.94127347852,51.1295372345183,"(51.1295372345183, -113.94127347852)"
Rundle,Calgary School District No. 19,Public School,Rundle School,4120 Rundlehorn Drive NE,Calgary,AB,GRK-6,N,CBE Data,9358,Y,Y,N,N,2019/03/03,T1Y4W9,1381142,-113.973721740547,51.0711823153387,"(51.0711823153387, -113.973721740547)"
St. Albert the Great,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Albert the Great,225 Prestwick Ave SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,1336,N,Y,Y,N,2019/03/03,T2Z3X3,1382579,-113.960075849988,50.921509651829,"(50.921509651829, -113.960075849988)"
James Fowler High,Calgary School District No. 19,Public School,James Fowler High School,4004 4 Street NW,Calgary,AB,GR10-12,N,CBE Data,9825,N,N,N,Y,2019/03/03,T2K1A1,1383037,-114.070516303064,51.086532146809,"(51.086532146809, -114.070516303064)"
Deer Run,Calgary School District No. 19,Public School,Deer Run School,2127 146 Avenue SE,Calgary,AB,GRK-6,N,CBE Data,9265,Y,Y,N,N,2019/03/03,T2J6P8,1369586,-114.009454543388,50.9215554277433,"(50.9215554277433, -114.009454543388)"
Annie Foote,Calgary School District No. 19,Public School,Annie Foote School,6320 Temple Drive NE,Calgary,AB,GRK-6,N,CBE Data,9377,Y,Y,N,N,2019/03/03,T1Y5V5,1383036,-113.940330271319,51.085988623729,"(51.085988623729, -113.940330271319)"
St. Mary's High,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Mary's High School,111 18 Ave SW,Calgary,AB,Senior High,N,CSSD Data,8904,N,N,N,Y,2019/03/03,,1382530,-114.064017571661,51.0366143229253,"(51.0366143229253, -114.064017571661)"
Tyndale Christian,The Canadian Reformed School Society of Calgary,Private School,Tyndale Christian School,28 Hart Estates Blvd. NE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9984,N,Y,Y,Y,2019/03/03,T1X0L3,1370057,-113.8677456947,51.058633929554,"(51.058633929554, -113.8677456947)"
Northeast Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Northeast Elementary Campus,1140 Mayland Drive NE,Calgary,AB,Elementary,N,Provincial Data,1349,N,Y,N,N,2019/03/03,T2E6C8,1380950,-114.011276764304,51.0641873412351,"(51.0641873412351, -114.011276764304)"
Georges P. Vanier,Calgary School District No. 19,Public School,Georges P. Vanier School,509 32 Avenue NE,Calgary,AB,GR7-9,N,CBE Data,9635,N,N,Y,N,2019/03/03,T2E2H3,1382291,-114.052069123477,51.0806053130658,"(51.0806053130658, -114.052069123477)"
Cappy Smart,Calgary School District No. 19,Public School,Cappy Smart School,5808 Madigan Drive NE,Calgary,AB,GRK-5,N,CBE Data,9353,Y,Y,N,N,2019/03/03,T2A4P5,1382334,-113.945067748103,51.0636930806335,"(51.0636930806335, -113.945067748103)"
